"","RE78","TREAT","MARR","NODEGREE","BLACK","HISPANIC","EDUC","AGE","RE74","RE75","U74","U75","TYPE"
"1",0,0,0,1,1,0,10,23,0,0,1,1,"EXP"
"2",12383.7,0,0,0,0,0,12,26,0,0,1,1,"EXP"
"3",0,0,0,1,1,0,9,22,0,0,1,1,"EXP"
"4",10740.1,0,0,1,1,0,9,18,0,0,1,1,"EXP"
"5",11796.5,0,0,1,1,0,11,45,0,0,1,1,"EXP"
"6",9227.1,0,0,1,1,0,9,18,0,0,1,1,"EXP"
"7",9930,1,1,1,1,0,11,37,0,0,1,1,"EXP"
"8",3595.9,1,0,1,0,1,9,22,0,0,1,1,"EXP"
"9",24909.5,1,0,0,1,0,12,30,0,0,1,1,"EXP"
"10",7506.1,1,0,1,1,0,11,27,0,0,1,1,"EXP"
"11",10569.3,0,0,1,0,0,8,24,0,0,1,1,"EXP"
"12",6040.3,0,1,1,1,0,11,34,0,0,1,1,"EXP"
"13",3880.8,0,0,1,0,1,4,24,0,0,1,1,"EXP"
"14",0,0,0,1,1,0,10,36,0,0,1,1,"EXP"
"15",5775.1,0,0,0,1,0,14,21,0,0,1,1,"EXP"
"16",0,0,0,1,1,0,9,28,0,0,1,1,"EXP"
"17",0,0,1,1,1,0,7,27,0,0,1,1,"EXP"
"18",0,0,0,1,0,0,11,19,0,0,1,1,"EXP"
"19",0,0,0,1,1,0,8,20,0,0,1,1,"EXP"
"20",2113.7,0,0,0,1,0,12,34,0,0,1,1,"EXP"
"21",7618.6,0,0,1,1,0,10,24,0,0,1,1,"EXP"
"22",9920.9,0,0,1,0,1,8,22,0,0,1,1,"EXP"
"23",4196.4,0,0,1,1,0,11,25,0,0,1,1,"EXP"
"24",0,0,0,1,1,0,9,39,0,0,1,1,"EXP"
"25",16658.2,0,1,1,1,0,9,19,0,0,1,1,"EXP"
"26",9722,0,0,1,1,0,9,44,0,0,1,1,"EXP"
"27",3783.7,0,0,1,1,0,8,27,0,0,1,1,"EXP"
"28",3515.9,0,0,1,1,0,8,25,0,0,1,1,"EXP"
"29",17014.6,0,0,1,1,0,10,31,0,0,1,1,"EXP"
"30",0,0,1,1,1,0,10,34,0,0,1,1,"EXP"
"31",0,0,0,1,0,1,7,21,0,0,1,1,"EXP"
"32",5970.3,0,0,0,1,0,12,33,0,0,1,1,"EXP"
"33",1859.2,0,0,1,0,1,10,18,0,0,1,1,"EXP"
"34",6191.9,0,1,0,1,0,12,26,0,0,1,1,"EXP"
"35",7284.4,0,0,0,1,0,12,31,0,0,1,1,"EXP"
"36",445.8,0,0,1,1,0,10,35,0,0,1,1,"EXP"
"37",0,0,0,0,1,0,12,20,0,0,1,1,"EXP"
"38",0,0,0,1,1,0,11,25,0,0,1,1,"EXP"
"39",7367,0,0,1,1,0,10,25,0,0,1,1,"EXP"
"40",0,0,0,1,1,0,11,35,0,0,1,1,"EXP"
"41",2015.5,0,0,1,1,0,10,20,0,0,1,1,"EXP"
"42",15791.1,0,0,1,0,1,9,25,0,0,1,1,"EXP"
"43",1135.5,0,0,1,1,0,10,27,0,0,1,1,"EXP"
"44",6378.7,0,0,1,0,1,11,20,0,0,1,1,"EXP"
"45",7176.2,0,0,1,1,0,11,26,0,0,1,1,"EXP"
"46",0,0,0,1,1,0,8,38,0,0,1,1,"EXP"
"47",7952.5,0,0,1,1,0,10,34,0,0,1,1,"EXP"
"48",0,0,0,0,1,0,12,19,0,0,1,1,"EXP"
"49",7152.1,0,0,1,1,0,8,32,0,0,1,1,"EXP"
"50",8329.8,0,0,1,0,1,9,20,0,0,1,1,"EXP"
"51",0,0,0,1,1,0,10,23,0,0,1,1,"EXP"
"52",12429.9,0,0,1,1,0,10,38,0,0,1,1,"EXP"
"53",0,0,0,1,1,0,11,24,0,0,1,1,"EXP"
"54",5088.8,0,0,1,1,0,11,23,0,0,1,1,"EXP"
"55",4374,0,0,1,0,1,7,20,0,0,1,1,"EXP"
"56",1553.3,0,0,1,1,0,11,21,0,0,1,1,"EXP"
"57",0,0,0,1,1,0,10,25,0,0,1,1,"EXP"
"58",1698.3,0,1,1,1,0,11,22,0,0,1,1,"EXP"
"59",0,0,0,1,1,0,11,23,0,0,1,1,"EXP"
"60",11294.6,0,0,0,0,0,12,24,0,0,1,1,"EXP"
"61",0,0,0,1,1,0,11,29,0,0,1,1,"EXP"
"62",14626.4,0,0,1,1,0,11,24,0,0,1,1,"EXP"
"63",12898.4,0,0,1,1,0,9,22,0,0,1,1,"EXP"
"64",5767.1,0,0,1,1,0,11,28,0,0,1,1,"EXP"
"65",6527.9,0,0,1,0,1,10,18,0,0,1,1,"EXP"
"66",3931.2,0,0,1,1,0,10,26,0,0,1,1,"EXP"
"67",20942.2,0,0,1,1,0,10,25,0,0,1,1,"EXP"
"68",0,0,0,1,1,0,10,24,0,0,1,1,"EXP"
"69",0,0,0,1,1,0,5,26,0,0,1,1,"EXP"
"70",14690.4,0,0,1,1,0,10,36,0,0,1,1,"EXP"
"71",0,0,0,1,1,0,11,22,0,0,1,1,"EXP"
"72",3418.1,0,0,0,1,0,12,25,0,0,1,1,"EXP"
"73",11197.3,0,0,1,1,0,11,27,0,0,1,1,"EXP"
"74",0,0,0,1,1,0,8,29,0,0,1,1,"EXP"
"75",0,0,0,0,1,0,12,24,0,0,1,1,"EXP"
"76",0,0,0,1,1,0,10,22,0,0,1,1,"EXP"
"77",1455.7,0,0,1,1,0,7,24,0,0,1,1,"EXP"
"78",1890.9,0,0,0,1,0,12,29,0,0,1,1,"EXP"
"79",4485.6,0,1,1,0,1,11,25,0,0,1,1,"EXP"
"80",13613.4,0,0,0,1,0,12,30,0,0,1,1,"EXP"
"81",1390.5,0,0,1,1,0,8,22,0,0,1,1,"EXP"
