RE78 TREAT MARR NODEGREE BLACK HISPANIC EDUC AGE RE74 RE75 U74 U75 TYPE
0 0 0 1 1 0 10 23 0 0 1 1 EXP
12383.7 0 0 0 0 0 12 26 0 0 1 1 EXP
0 0 0 1 1 0 9 22 0 0 1 1 EXP
10740.1 0 0 1 1 0 9 18 0 0 1 1 EXP
11796.5 0 0 1 1 0 11 45 0 0 1 1 EXP
9227.1 0 0 1 1 0 9 18 0 0 1 1 EXP
9930 1 1 1 1 0 11 37 0 0 1 1 EXP
3595.9 1 0 1 0 1 9 22 0 0 1 1 EXP
24909.5 1 0 0 1 0 12 30 0 0 1 1 EXP
7506.1 1 0 1 1 0 11 27 0 0 1 1 EXP
10569.3 0 0 1 0 0 8 24 0 0 1 1 EXP
6040.3 0 1 1 1 0 11 34 0 0 1 1 EXP
3880.8 0 0 1 0 1 4 24 0 0 1 1 EXP
0 0 0 1 1 0 10 36 0 0 1 1 EXP
5775.1 0 0 0 1 0 14 21 0 0 1 1 EXP
0 0 0 1 1 0 9 28 0 0 1 1 EXP
0 0 1 1 1 0 7 27 0 0 1 1 EXP
0 0 0 1 0 0 11 19 0 0 1 1 EXP
0 0 0 1 1 0 8 20 0 0 1 1 EXP
2113.7 0 0 0 1 0 12 34 0 0 1 1 EXP
7618.6 0 0 1 1 0 10 24 0 0 1 1 EXP
9920.9 0 0 1 0 1 8 22 0 0 1 1 EXP
4196.4 0 0 1 1 0 11 25 0 0 1 1 EXP
0 0 0 1 1 0 9 39 0 0 1 1 EXP
16658.2 0 1 1 1 0 9 19 0 0 1 1 EXP
9722 0 0 1 1 0 9 44 0 0 1 1 EXP
3783.7 0 0 1 1 0 8 27 0 0 1 1 EXP
3515.9 0 0 1 1 0 8 25 0 0 1 1 EXP
17014.6 0 0 1 1 0 10 31 0 0 1 1 EXP
0 0 1 1 1 0 10 34 0 0 1 1 EXP
0 0 0 1 0 1 7 21 0 0 1 1 EXP
5970.3 0 0 0 1 0 12 33 0 0 1 1 EXP
1859.2 0 0 1 0 1 10 18 0 0 1 1 EXP
6191.9 0 1 0 1 0 12 26 0 0 1 1 EXP
7284.4 0 0 0 1 0 12 31 0 0 1 1 EXP
445.8 0 0 1 1 0 10 35 0 0 1 1 EXP
0 0 0 0 1 0 12 20 0 0 1 1 EXP
0 0 0 1 1 0 11 25 0 0 1 1 EXP
7367 0 0 1 1 0 10 25 0 0 1 1 EXP
0 0 0 1 1 0 11 35 0 0 1 1 EXP
2015.5 0 0 1 1 0 10 20 0 0 1 1 EXP
15791.1 0 0 1 0 1 9 25 0 0 1 1 EXP
1135.5 0 0 1 1 0 10 27 0 0 1 1 EXP
6378.7 0 0 1 0 1 11 20 0 0 1 1 EXP
7176.2 0 0 1 1 0 11 26 0 0 1 1 EXP
0 0 0 1 1 0 8 38 0 0 1 1 EXP
7952.5 0 0 1 1 0 10 34 0 0 1 1 EXP
0 0 0 0 1 0 12 19 0 0 1 1 EXP
7152.1 0 0 1 1 0 8 32 0 0 1 1 EXP
8329.8 0 0 1 0 1 9 20 0 0 1 1 EXP
0 0 0 1 1 0 10 23 0 0 1 1 EXP
12429.9 0 0 1 1 0 10 38 0 0 1 1 EXP
0 0 0 1 1 0 11 24 0 0 1 1 EXP
5088.8 0 0 1 1 0 11 23 0 0 1 1 EXP
4374 0 0 1 0 1 7 20 0 0 1 1 EXP
1553.3 0 0 1 1 0 11 21 0 0 1 1 EXP
0 0 0 1 1 0 10 25 0 0 1 1 EXP
1698.3 0 1 1 1 0 11 22 0 0 1 1 EXP
0 0 0 1 1 0 11 23 0 0 1 1 EXP
11294.6 0 0 0 0 0 12 24 0 0 1 1 EXP
0 0 0 1 1 0 11 29 0 0 1 1 EXP
14626.4 0 0 1 1 0 11 24 0 0 1 1 EXP
12898.4 0 0 1 1 0 9 22 0 0 1 1 EXP
5767.1 0 0 1 1 0 11 28 0 0 1 1 EXP
6527.9 0 0 1 0 1 10 18 0 0 1 1 EXP
3931.2 0 0 1 1 0 10 26 0 0 1 1 EXP
20942.2 0 0 1 1 0 10 25 0 0 1 1 EXP
0 0 0 1 1 0 10 24 0 0 1 1 EXP
0 0 0 1 1 0 5 26 0 0 1 1 EXP
14690.4 0 0 1 1 0 10 36 0 0 1 1 EXP
0 0 0 1 1 0 11 22 0 0 1 1 EXP
3418.1 0 0 0 1 0 12 25 0 0 1 1 EXP
11197.3 0 0 1 1 0 11 27 0 0 1 1 EXP
0 0 0 1 1 0 8 29 0 0 1 1 EXP
0 0 0 0 1 0 12 24 0 0 1 1 EXP
0 0 0 1 1 0 10 22 0 0 1 1 EXP
1455.7 0 0 1 1 0 7 24 0 0 1 1 EXP
1890.9 0 0 0 1 0 12 29 0 0 1 1 EXP
4485.6 0 1 1 0 1 11 25 0 0 1 1 EXP
13613.4 0 0 0 1 0 12 30 0 0 1 1 EXP
1390.5 0 0 1 1 0 8 22 0 0 1 1 EXP
5843.8 0 0 1 1 0 3 55 0 0 1 1 EXP
8598.5 0 0 1 1 0 10 20 0 0 1 1 EXP
2920.2 0 0 1 1 0 11 34 0 0 1 1 EXP
0 0 0 0 1 0 12 22 0 0 1 1 EXP
6735.3 0 1 0 0 1 12 32 0 0 1 1 EXP
0 0 0 1 1 0 10 31 0 0 1 1 EXP
0 0 0 1 1 0 9 18 0 0 1 1 EXP
0 0 0 1 0 1 10 50 0 0 1 1 EXP
44.8 0 1 1 1 0 11 25 0 0 1 1 EXP
0 0 1 1 1 0 10 23 0 0 1 1 EXP
0 0 0 1 1 0 10 38 0 0 1 1 EXP
3701.8 0 1 1 1 0 10 25 0 0 1 1 EXP
6930.3 0 0 1 1 0 10 42 0 0 1 1 EXP
3795.8 0 1 0 1 0 12 39 0 0 1 1 EXP
5193.2 0 1 0 1 0 13 34 0 0 1 1 EXP
2193.5 0 0 1 1 0 7 24 0 0 1 1 EXP
11120.5 0 0 1 1 0 11 32 0 0 1 1 EXP
7609.5 0 0 0 1 0 13 27 0 0 1 1 EXP
2169 0 0 1 1 0 10 26 0 0 1 1 EXP
0 0 0 1 1 0 11 44 0 0 1 1 EXP
1264.2 0 0 1 1 0 11 25 0 0 1 1 EXP
0 0 0 0 1 0 12 25 0 0 1 1 EXP
0 0 1 0 1 0 12 28 0 0 1 1 EXP
0 0 0 1 1 0 10 32 0 0 1 1 EXP
0 0 0 1 1 0 10 22 0 0 1 1 EXP
5712.6 0 0 1 1 0 9 19 0 0 1 1 EXP
0 0 1 1 1 0 10 31 0 0 1 1 EXP
0 0 0 1 1 0 11 23 0 0 1 1 EXP
0 0 0 1 1 0 11 33 0 0 1 1 EXP
1184.9 0 0 1 1 0 10 27 0 0 1 1 EXP
10225.9 0 1 1 1 0 11 29 0 0 1 1 EXP
0 0 0 1 1 0 10 23 0 0 1 1 EXP
4715.4 0 1 1 1 0 9 25 0 0 1 1 EXP
289.8 0 0 1 1 0 10 25 0 0 1 1 EXP
0 0 0 1 1 0 10 24 0 0 1 1 EXP
8190.4 0 0 1 0 0 8 28 0 0 1 1 EXP
4813.1 0 0 1 1 0 6 26 0 0 1 1 EXP
7344.7 0 1 0 1 0 14 30 0 0 1 1 EXP
0 0 1 1 1 0 10 25 0 0 1 1 EXP
0 0 1 1 1 0 11 29 0 0 1 1 EXP
0 0 1 0 1 0 12 25 0 0 1 1 EXP
0 0 0 0 1 0 13 28 0 0 1 1 EXP
4350.9 0 0 1 1 0 11 23 0 0 1 1 EXP
7812.5 0 0 1 1 0 11 54 0 0 1 1 EXP
0 0 0 1 0 1 5 33 0 0 1 1 EXP
3644.7 0 0 1 1 0 8 20 0 0 1 1 EXP
4844.8 0 0 1 1 0 9 45 0 0 1 1 EXP
0 0 0 1 1 0 6 39 0 0 1 1 EXP
0 0 0 0 1 0 12 26 0 0 1 1 EXP
0 0 0 1 1 0 10 23 0 0 1 1 EXP
14792.9 0 0 0 0 0 12 27 0 0 1 1 EXP
0 0 1 1 0 1 9 33 0 0 1 1 EXP
0 0 1 1 1 0 10 25 0 0 1 1 EXP
3746.7 0 0 1 1 0 8 23 0 0 1 1 EXP
1568.2 0 0 1 1 0 8 18 0 0 1 1 EXP
7010.4 0 0 1 1 0 8 17 0 0 1 1 EXP
3811.7 0 0 1 0 1 9 19 0 0 1 1 EXP
10798.6 0 0 1 0 1 8 18 0 0 1 1 EXP
4657.3 0 0 1 1 0 11 18 0 0 1 1 EXP
8551.5 0 0 1 1 0 11 17 0 0 1 1 EXP
4309.9 0 0 1 1 0 10 19 0 0 1 1 EXP
5286.4 0 0 1 1 0 10 19 0 0 1 1 EXP
12486.2 0 0 1 1 0 9 18 0 0 1 1 EXP
10877.4 0 0 1 1 0 9 18 0 0 1 1 EXP
202.3 0 0 1 1 0 10 18 0 0 1 1 EXP
2657.7 0 0 1 1 0 10 17 0 0 1 1 EXP
4132.6 0 0 1 1 0 7 18 0 0 1 1 EXP
11303.1 0 0 1 1 0 11 18 0 0 1 1 EXP
0 0 0 1 0 1 10 19 0 0 1 1 EXP
0 0 0 1 1 0 9 18 0 0 1 1 EXP
0 0 0 1 1 0 10 17 0 0 1 1 EXP
2189.4 0 0 1 1 0 10 17 0 0 1 1 EXP
0 0 0 1 1 0 11 19 0 0 1 1 EXP
10211 0 0 1 0 0 8 17 0 0 1 1 EXP
11048.1 0 0 1 1 0 10 18 0 0 1 1 EXP
0 0 0 1 1 0 9 18 0 0 1 1 EXP
8993.9 0 0 1 1 0 8 17 0 0 1 1 EXP
5071.8 0 0 1 0 1 6 19 0 0 1 1 EXP
3194 0 0 1 0 0 10 19 0 0 1 1 EXP
0 0 0 1 0 0 11 17 0 0 1 1 EXP
5193.1 0 0 1 1 0 9 20 0 0 1 1 EXP
0 0 0 1 1 0 9 17 0 0 1 1 EXP
275.6 0 0 1 1 0 10 17 0 0 1 1 EXP
3590.7 0 0 1 1 0 9 17 0 0 1 1 EXP
0 0 0 1 1 0 11 19 0 0 1 1 EXP
12797.7 0 1 1 1 0 10 19 0 0 1 1 EXP
2035.9 0 0 1 1 0 9 20 0 0 1 1 EXP
2389.7 0 0 1 1 0 9 18 0 0 1 1 EXP
0 0 0 1 1 0 11 18 0 0 1 1 EXP
8469.3 0 0 1 0 1 10 17 0 0 1 1 EXP
0 0 0 1 1 0 11 19 0 0 1 1 EXP
1143.4 0 0 1 1 0 10 17 0 0 1 1 EXP
5114.8 0 0 1 0 1 9 17 0 0 1 1 EXP
781.2 0 0 1 1 0 10 18 0 0 1 1 EXP
3343.2 0 0 1 1 0 9 21 591.5 0 0 1 EXP
9602.4 0 0 1 1 0 10 18 1563.2 0 0 1 EXP
0 0 0 1 1 0 11 19 1626.6 0 0 1 EXP
16461.6 0 0 1 1 0 9 24 2788.5 0 0 1 EXP
6771.6 0 1 1 0 1 11 28 3472.9 0 0 1 EXP
0 0 0 1 1 0 11 25 5281.2 0 0 1 EXP
11011.6 0 0 1 1 0 7 21 33799.9 0 0 1 EXP
0 0 0 1 1 0 11 39 0 83.7 1 0 EXP
0 0 0 0 1 0 12 36 0 142.4 1 0 EXP
0 0 0 0 1 0 12 24 0 159.9 1 0 EXP
4251.1 0 0 1 1 0 11 17 989.3 165.2 0 0 EXP
2891.7 0 0 1 1 0 10 18 960.4 240.1 0 0 EXP
5514.4 0 0 1 1 0 10 18 0 273.6 1 0 EXP
4858.9 0 0 1 1 0 10 28 1471.3 367.8 0 0 EXP
4812.6 0 0 0 0 0 13 27 5214.3 474.5 0 0 EXP
0 0 0 0 0 0 12 31 0 494.6 1 0 EXP
604.2 0 0 1 1 0 9 22 0 506.4 1 0 EXP
14527.9 0 0 1 1 0 10 31 0 520.4 1 0 EXP
0 0 1 1 1 0 10 26 6140.4 558.8 0 0 EXP
7300.5 0 0 1 0 0 9 18 0 559.6 1 0 EXP
0 0 0 1 1 0 11 23 6382.3 580.8 0 0 EXP
4159.9 0 0 0 1 0 12 20 0 591.8 1 0 EXP
0 0 0 1 1 0 10 19 0 604.2 1 0 EXP
5497.6 0 0 1 1 0 11 18 1064.7 645.3 0 0 EXP
0 0 0 1 1 0 10 17 0 664.6 1 0 EXP
0 0 1 0 1 0 12 27 0 752.4 1 0 EXP
0 0 0 1 1 0 11 27 3065.2 766.3 0 0 EXP
16477 0 0 0 0 0 12 28 0 803.3 1 0 EXP
0 0 0 1 1 0 11 28 2431.9 863.5 0 0 EXP
39483.5 0 0 1 1 0 10 21 6661.1 1162.4 0 0 EXP
11306.3 0 0 1 0 1 10 17 4905.1 1168.9 0 0 EXP
6672 0 0 1 1 0 11 26 4700 1175 0 0 EXP
9378.7 0 0 1 1 0 9 29 0 1203.8 1 0 EXP
5089 0 0 1 0 1 10 17 1203.6 1239.6 0 0 EXP
2639.3 0 0 1 1 0 11 22 7914.1 1321.7 0 0 EXP
9495.9 0 0 1 1 0 11 24 0 1328 1 0 EXP
20893.1 0 0 0 1 0 12 20 557.7 1371.5 0 0 EXP
0 0 0 0 1 0 12 18 0 1405.5 1 0 EXP
10361.7 0 0 1 0 0 11 24 2669.7 1468.4 0 0 EXP
1740.2 0 0 1 0 0 9 21 2988.4 1577.2 0 0 EXP
0 0 0 1 1 0 8 30 0 1706.7 1 0 EXP
0 0 0 1 1 0 11 31 17711.9 1726.4 0 0 EXP
6354.2 0 0 1 0 1 10 17 1442.7 1734.6 0 0 EXP
7171 0 0 1 1 0 9 19 8409.6 1778.1 0 0 EXP
5573.5 0 0 1 1 0 11 23 0 1896 1 0 EXP
439.7 0 0 0 1 0 12 22 4380 2003.7 0 0 EXP
16970 0 0 0 1 0 12 29 22859.4 2080.2 0 0 EXP
5344 0 0 1 1 0 10 22 0 2175 1 0 EXP
2725.3 0 0 0 1 0 13 29 718.2 2265.6 0 0 EXP
9772.3 0 0 1 1 0 11 19 721.3 2445.6 0 0 EXP
0 0 0 1 1 0 9 17 0 2595.3 1 0 EXP
0 0 0 1 1 0 10 18 1716.5 2682.1 0 0 EXP
1720.9 0 0 0 1 0 12 19 8417 2814.2 0 0 EXP
0 0 0 1 1 0 6 20 6006.9 2850.6 0 0 EXP
18859.9 0 0 1 1 0 11 33 10523.8 2899.8 0 0 EXP
1324.5 0 0 1 0 1 11 36 5443.7 3063.9 0 0 EXP
284.7 0 0 1 1 0 11 25 15210 3072.7 0 0 EXP
11195.9 0 0 1 1 0 11 19 3504 3285.7 0 0 EXP
0 0 0 1 1 0 8 23 7724.3 3403.1 0 0 EXP
0 0 0 1 1 0 11 17 4080.7 3796 0 0 EXP
7565.3 0 0 1 1 0 10 43 2502.9 4128.4 0 0 EXP
0 0 1 1 1 0 11 26 0 4184.7 1 0 EXP
0 0 1 1 1 0 11 27 0 4491.9 1 0 EXP
0 0 0 1 1 0 11 19 6337.5 4503.1 0 0 EXP
4974.6 0 1 1 1 0 11 28 8593.2 5393.9 0 0 EXP
12780 0 1 0 1 0 12 28 10585.1 5551.5 0 0 EXP
3523.6 0 0 1 1 0 8 26 1126.3 5562.6 0 0 EXP
0 0 0 0 1 0 12 31 0 5613.9 1 0 EXP
10274.8 0 0 1 1 0 11 23 7617.4 5716.4 0 0 EXP
4779.7 0 0 0 1 0 12 20 7182.5 6004.7 0 0 EXP
16988.2 0 1 1 1 0 10 28 8293.3 6449.5 0 0 EXP
499.3 0 1 0 1 0 12 39 19785.3 6608.1 0 0 EXP
3083.6 0 0 1 1 0 8 21 39570.7 6608.3 0 0 EXP
3708.7 0 0 1 1 0 11 22 8810.1 6974.5 0 0 EXP
7659.2 0 0 1 1 0 11 20 8009.2 7666.9 0 0 EXP
20857.8 0 0 1 0 1 11 21 2992.5 8920.5 0 0 EXP
7078.2 0 0 0 0 1 12 23 5721.7 8960.7 0 0 EXP
0 0 0 1 1 0 9 29 9268.9 9160.7 0 0 EXP
1239.8 0 1 1 1 0 9 28 10222.4 9210.4 0 0 EXP
3982.8 0 1 1 1 0 11 30 0 9311.9 1 0 EXP
0 0 1 1 1 0 10 25 13520 9319.4 0 0 EXP
0 0 1 1 1 0 11 28 824.4 10033.9 0 0 EXP
7094.9 0 0 1 0 0 10 22 27864.4 10598.7 0 0 EXP
12359.3 0 1 1 1 0 9 44 12260.8 10857.2 0 0 EXP
0 0 0 1 1 0 9 21 31886.4 12357.2 0 0 EXP
0 0 0 1 1 0 11 28 17491.5 13371.3 0 0 EXP
16900.3 0 0 1 0 1 9 29 9594.3 16341.2 0 0 EXP
7344 0 1 1 1 0 9 25 24731.6 16946.6 0 0 EXP
5448.8 0 1 1 0 0 10 22 25720.9 23032 0 0 EXP
289.8 1 0 1 1 0 8 33 0 0 1 1 EXP
4056.5 1 0 1 1 0 9 22 0 0 1 1 EXP
0 1 0 0 1 0 12 23 0 0 1 1 EXP
8472.2 1 0 1 1 0 11 32 0 0 1 1 EXP
2164 1 0 0 1 0 16 22 0 0 1 1 EXP
12418.1 1 1 0 0 0 12 33 0 0 1 1 EXP
