airbnbhostid,airbnbpropertyid,city,superhost_period_all,hostresponseaverage_pastyear,available_days,available_days_avelistedprice,booked_days,booked_days_aveprice,listingtype,createddate,zipcode,bedrooms,bathrooms,instantbookenabled,numberofreviews,ratingoverall,revenue,reservations,host_is_superhost_1_0
98233442,15375322,Houston,7,,72,90.611115,3,89.0,Entire home/apt,2016-10-04,77006,1,1.0,1,14,99,267.0,1,1.0
6245550,1138514,Chicago,12,90.625,93,50.2043,0,0.0,Entire home/apt,2013-05-04,60626,1,1.0,0,23,90,0.0,0,0.0
35870933,19825410,Dallas,12,99.35294,185,339.05405,2,350.0,Entire home/apt,2017-07-10,75206,3,2.5,0,17,100,700.0,1,1.0
5007980,929914,Chicago,5,97.79592,167,115.0,22,115.0,Entire home/apt,2013-02-07,60614,1,1.0,0,150,98,2530.0,5,1.0
110979112,16735163,Los Angeles,11,100.0,192,182.9375,84,164.64285,Entire home/apt,2017-01-10,90027,1,1.0,0,45,100,13830.0,14,1.0
40161215,7810928,Chicago,10,100.0,77,41.415585,9,45.11111,Entire home/apt,2017-06-14,60615,0,1.0,0,9,91,406.0,1,0.0
4981837,6886494,Los Angeles,5,100.0,214,215.29439,32,224.59375,Entire home/apt,2015-06-16,90025,2,2.0,1,27,97,7187.0,5,1.0
90639727,14608287,New York,9,91.125,179,127.46368400000001,45,123.62222,Entire home/apt,2016-08-18,11231,1,1.0,0,24,89,5563.0,11,0.0
90315535,14574699,Los Angeles,9,96.666664,94,52.404255,30,55.766666,Private room,2016-08-16,90038,1,1.0,1,62,97,1673.0,14,1.0
14204224,9200969,Philadelphia,10,100.0,234,26.91453,46,26.326086,Private room,2015-10-30,19132,1,2.0,1,185,92,1211.0,19,0.0
53823610,18023765,Miami,9,100.0,161,60.59627,59,61.847457999999996,Entire home/apt,2017-04-01,33135,1,1.0,1,17,100,3649.0,18,1.0
7714918,2155128,New York,11,100.0,33,51.0,25,52.36,Private room,2014-01-02,11237,1,1.0,0,157,96,1309.0,6,1.0
35829931,6837500,Miami,11,96.888885,135,54.162964,48,54.02083199999999,Private room,2015-06-13,33125,1,1.0,1,104,97,2593.0,18,0.0
4505460,860248,Dallas,12,100.0,174,40.931034000000004,22,40.909092,Private room,2012-12-27,75218,1,1.0,0,16,99,900.0,1,1.0
78977995,13626896,Miami,6,100.0,183,94.03825,45,98.28889000000001,Entire home/apt,2016-06-20,33304,1,1.0,1,32,97,4423.0,20,1.0
808353,169599,Oakland,9,100.0,143,75.573425,48,74.791664,Entire home/apt,2011-07-11,94605,1,1.0,0,153,93,3590.0,7,0.0
30983988,5968747,Houston,9,100.0,220,83.73182,44,82.84091,Entire home/apt,2015-04-09,77006,1,1.0,1,290,98,3645.0,31,1.0
17343455,12264858,Miami,9,100.0,79,120.0,24,120.0,Entire home/apt,2016-04-05,33301,1,1.0,0,26,99,2880.0,4,1.0
38502318,14023083,Philadelphia,6,94.666664,7,58.57143000000001,6,58.33333199999999,Entire home/apt,2016-07-15,19104,1,1.0,0,15,91,350.0,2,0.0
2383694,14800737,Houston,7,100.0,158,219.46835,16,226.5,Entire home/apt,2016-08-28,77019,3,3.5,1,18,98,3624.0,3,1.0
987941,9788435,New York,10,100.0,157,143.08281000000002,33,142.36363,Entire home/apt,2015-12-02,11216,1,1.0,0,48,88,4698.0,5,0.0
134707455,19242274,Chicago,11,100.0,213,138.41315,53,136.8868,Entire home/apt,2017-06-09,60614,1,1.0,0,27,99,7255.0,13,1.0
4306950,819206,New York,9,97.666664,187,44.262029999999996,20,47.0,Private room,2012-12-01,10029,1,1.0,0,76,92,940.0,3,0.0
23429418,4519195,Los Angeles,8,98.0,201,155.80100000000002,39,160.3077,Entire home/apt,2014-10-16,90046,2,2.0,0,74,89,6252.0,8,0.0
17382996,7869876,New York,11,100.0,181,80.8011,49,81.67347,Entire home/apt,2015-08-11,10454,2,1.0,0,82,98,4002.0,14,1.0
8534629,2307796,Dallas,5,98.29269000000001,139,82.697845,28,80.17857,Private room,2014-01-29,75204,1,1.0,0,43,98,2245.0,11,1.0
19988564,15559799,Philadelphia,11,100.0,148,112.98648999999999,39,121.82051000000001,Entire home/apt,2016-10-16,19128,2,1.0,1,153,99,4751.0,20,1.0
